chapter,verse,sanskrit,translation,question
2,50,बाह्याभ्यन्तरस्तम्भवृत्तिर्देशकालसंख्यामि परिदृष्टो दीर्घसूक्ष्मः,"(Breath regulation or Pranayama* has three dimensions) inhalation, exhalation, and the (various) pauses (kumbhakka*). By paying attention to the place, time and number of each aspects, they become more subtle and extended.","What are the types of Pranayama? What are the types of breath control? What are the names, types and details of the breath control?"
2,51,बाह्याभ्यन्तरविषयाक्षेपी चतुर्थः,"In the fourth dimension (of breath regulation), the division between inhaling and exhaling disappears.",WHat is the fourth type of breath control called? What constitutes the fourth type of breath control?
2,52,ततः क्षीयते प्रकाशावरणम्,"Then, the concealer of the illumination (sattva*) fades.",What is the eventual outcome of breath control? 
2,53,धारणासु च योग्यता मनसः,"Also, the capability of the mind to concentrate (dharana*) is actualized.",What is the benefit of breath control? What is the pre-requisite for meditation in Yoga? 
2,54,स्वविषयासंप्रयोगे चित्तस्वरूपानुकार इवेन्द्रियाणां प्रत्याहारः,"When the senses are disengaged from their respective sense objects and identifies with the nature of the chitta, then sense withdrawal (Pratyahara*) happens. ",What constitutes as withdrawl of the senses for meditation? What is withdrawl of the senses for meditation? 
2,55,ततः परमावश्यतेन्द्रियाणाम्,"Afterwards, the supreme mastery over the senses is attained.",What is the result of withdrawl of the senses for meditation? What is the fruit of withdrawl of the senses for meditation? What is the marker for success in withdrawl of the senses for meditation?
3,1,देशबन्धश्चित्तस्य धारणा,Concentration/Attention is focusing on a single place.,How to focus? How to concentrate? What is concentration? What is focus?
3,2,तत्र प्रत्ययैकतानता ध्यानम्,"In meditation, one's entire perceptual experience becomes uninturreptedly aligned with that object.",What actually happens in meditation? How do we know we are meditating?
3,3,तदेवार्थमात्रनिर्भास स्वरूपशून्यमिव समाधिः,"When only the essence of that object (used for dhyana) remains, and (chitta's) own functions (other cognitive abilities) appears non-existent then samadhi* has been achieved.",How to know one has succeeded in developing focus or concentration? What is the sign of success in developing focus or concentration? How to develop single pointedness? How to acheive Shunyata?
3,4,त्रयमेकत्र संयमः,"The pure state of cognition (samyama*) involves all the (above) three (concentration, meditative absorption, and integration towards a single object.) ",What is Samyama? What is Sanyam? What is the pure state of cognition?
3,5,तज्जयात्प्रज्ञालोकः,"When one masters this discipline, light of wisdom dawns. [Stages of this wisdom has been mentioned in sutra 2.27]",What are the fruits or rewards of Samyama or Sanyam? How to develop insight? Why should one practice/develop concentration?
3,6,तस्य भूमिषु विनियोगः,It (Samyama* or pure state of cognition) should be applied (sequentially) on various stages or planes (of refined cognition).,Why should one practice Yoga sequentially? What is the importance of doing Yoga sequentially?
3,7,त्रयमन्तरङ्गं पूर्वेभ्यः,"These three limbs (concentration, absorption, and integration) are innermost with respect to the previous five.",What are the subtle paths of Yoga? How many subtle limbs of Yoga are there? How many categories are the eight paths of Yoga divided in? 
3,8,तदपि बहिरङ्गं निर्बीजस्य,"However, even these three are considered extrinsic with respect to the state of integration that bears no potential/seeds (Nirbeej Samadhi*). ",Which limb(s) of Yoga preceeds the deepest meditaive absorption? What happens when all the eight limbs of Astanga Yoga reach their conclusion?
3,9,व्युत्थाननिरोधसंस्कारयोरभिभवप्रादुर्भावौ निरोधक्षणचित्तान्वयो निरोधपरिणामः,The cyclical suppression of worldly or distracting smaskaras and emergence of restraining (nirodha*) samskaras eventually fades the former resulting in the frequent contact of the chitta with restraining samskaras. This enables the state of restraint or Nirodha-parinama*.,What happens when the 'nirodha' state of mind is achieved? How to know that the mind is controlled? How does the mind behave when it has been controlled? 
3,10,तस्य प्रशान्तवाहिता संस्कारात्,The unhinged fludity of the thoughts in the mind is due to the samskaras. ,Why does the mind behave in an uncontrolled manner? What is the reason for the continous thoughts on our mind? 
3,11,सर्वार्थतैकाग्रतयोः क्षयोदयौ चित्तस्य समाधिपरिणामः,"In the state of liberation (Samadhi parinama*), the chitta eliminates multi-pointedness and develops one-pointedness.",How does the mind behave when it enters deep concentration? What happens to chitta or the mind after liberation? What happens to chitta or the mind in samadhi?
3,12,ततः पुनः शान्तोदितौ तुल्यप्रत्ययौ चित्तस्यैकाग्रतापरिणामः,"Then, again, the one object or idea of focus present/arising on the chitta is identical to the one which subsides. This state is of one-pointedness (Ekagrata parinama*).",How does the mind behave during the process of deep meditation?
3,13,एतेन भूतेन्द्रियेषु धर्मलक्षणावस्थापरिणामा व्याख्याताः,"Similar to this (like the above changes in consiousness), dynamic changes (due to interplay of gunas) in material objects and senses can be interpreted at three levels : funtion (dharma*), timespan (lakshana*) and condition (awastha*).",How does the changes in the material world appear as we progress in meditation? What are the levels at which changes in the material world can be noticed/observed as we progress in our ability to meditate?
3,14,शान्तोदिताव्यपदेश्यधर्मानुपाती धर्मी,"The underlying foundation (dharmi*) remains the same, irrespective of whether it manifests in a particular form or funtion (dharma*) - before, during, or after the transformation.",What aspects of 'observation' does not change as we progress towards deeper awareness?
3,15,क्रमान्यत्व परिणामान्यत्वे हेतुः,"These transformations (of objects/awareness) seem to occur in a specific manner, which is caused by change in sequence (of characteristics).",How does one interpret the transformation appearing while one meditates?
3,16,परिणामत्रयसंयमादतीतानागतज्ञानम्,"By carefully observing (a pure state of cognition or samyama*) the three aspects of change - function, timespan, and condition, one can gain insights into both the past and future.",How does our awareness refine as we meditate? 
3,17,शब्दार्थप्रत्ययानामितरेतराध्यासात्संकरस्तत्प्रविभागसंयमात्सर्वभूतरुतज्ञानम्,"The concepts of word, meaning, and perception are often intertwined, creating confusion between them. However, by paying attention to the differences between them through perfect discipline (samyama*), one can gain insights into the sounds of all living beings.",How does the discipline of Yoga/Samyama/meditation translates into increased awareness/insight? 
3,18,संस्कारसाक्षात्करणात्पूर्वजातिज्ञानम्,Examining the dormant mental impressions (samskaras*) through direct perception bestows insights into past lives.,How does the ability to know the contents of the past lives gained? What powers comes with deep meditation?
3,19,प्रत्ययस्य परचित्तज्ञानम्,It is possible to gain insight into the consciousness of another person by focusing on their perceptions (pratyaya*).,How does the power to read other's mind accquired? 
3,20,न च तत्सालम्बनं तस्याविषयीभूतत्वात्,"However, this insight does not extend to the object (alambana*) of their perceptions since it (the object) is not actually the subject matter of the one who is focussing (i.e. the yogi).", Does confusion arise in the mind of yogi/person who can read other's mind (due to mixing of contents)?
3,21,कायरूपसंयमात्तद्ग्राह्यशक्तिस्तम्भे चक्षुष्प्रकाशासंयोगेऽन्तर्धानम्,"By observing the body's physical form with perfect discipline (samyama*), it becomes invisible. This happens when the power to perceive is suspended amidst the eye and the incoming light.",How does the yogic/mysic power of invisibilty achieved? What is the science behind the power of being invisible?
3,22,सोपक्रमं निरुपक्रमं च कर्म तत्संयमादपरान्तज्ञानमरिष्टेभ्यो वा,The consequences of actions (karma) may manifest instantly or take time to appear. Observing one's actions with perfect discipline or studying omens can offer insight into death.,Can one accquire insight into death? How does insight into death developed by meditation?
3,23,मैत्र्यादिषु बलानि,"By using perfect discipline to focus on friendliness etc.(i.e compassion, delight, and equanimity), one can internalize (their) strengths.",How does meditation give strength? What should one focus upon to gain strength? What is the role of friendliness in meditation? 
3,24,बलेषु हस्तिबलादीनि,"Through focusing (samyama*) on strengths, it is possible to acquire the powers of an elephant, etc.",How does one accquire immense strength by Yoga and meditation? Can one become physically strong by meditation?
3,25,प्रवृत्त्यालोकन्यासात्सूक्ष्मव्यवहितविप्रकृष्टज्ञानम्,"Being deeply engaged in the radiance of the mind provides insight into the subtle, concealed, and remote aspects of existence (of things).",How does one obtain power to know remote things?  Can one know about things one cannot see by Yoga/meditation? How does one gain knowledge about secrets of body by meditation/Yoga? 
3,26,भुवनज्ञानं सूर्ये संयमात्,"With perfect focusing (samayama*) on the sun, allows one to gain insight into the universe.",How does one gain knowledge about secrets of universe by meditation/Yoga? Can one know about secrets of universe by meditation/Yoga? 
3,27,चन्द्रे ताराव्यूहज्ञानम्,"By using perfect discipline (samayama*) to focus on the moon, one can gain insight into the position of the stars.",How does meditation on pole star affect us? Can one know about position of stars? 
3,28,ध्रुवे तद्गतिज्ञानम्,Perfect discipline (samayama*) enables one to gain insight into the movements/speed of the stars by focusing on the polestar.,Can we gain knowledge of astrology by meditation? What is the significance of meditation on stars?
3,29,नाभिचक्रे कायव्यूहज्ञानम्,"By using perfect discipline (samayama*) to focus on the navel plexus, one can gain insight into the organization of the body.",How does meditation on navel affect us? Can one know all about the organization of the body? Can we gain knowledge of body by meditation? What is the significance of meditation on navel? Can one know about secrets of body by meditation/Yoga? 
3,30,कण्ठकूपे क्षुत्पिपासानिवृत्तिः,Focusing with perfect discipline (samayama*) on the pit of the throat helps to eliminate hunger and thirst.,How does one gain control over hunger and thirst by Yoga/meditation? What is the importance of intense meditation on the pit of throat? Can one exert control over one's hunger and thirst by Yoga/meditation?
3,31,कूर्मनाड्यां स्थैर्यम्,Focusing with perfect discipline (samayama*) on the 'tortoise channel' (kurma naadi) helps to cultivate steadiness.,How does one achieve stability/steadiness by intense focus? Can Yoga/meditation confer stability/steadiness? What can one do to achieve stability?
3,32,मूर्धज्योतिषि सिद्धदर्शनम्,"Through perfect discipline (samayama*), focusing on the light at the crown of the head allows one to acquire the perspective of those who have achieved perfection (siddhas).",How does one accquire visionary sight? How can one accquire supernatural powers? Can Yoga/meditation confer supernatural powers?
3,33,प्रातिभाद्वा सर्वम्,"Or, intuition (a foreground of districrinatory knowledge) may bring about knowlede of all.",How does knowledge about everything gained? Can one know about everything? What is the importance of intuition?
3,34,हृदये चित्तसंवित्,"By concentrating with utmost discipline on the heart, one can comprehend the essence of consciousness.",Can one know everything about mind and its functions? How does one know about mind and its functions? What is the importance of meditating on the heart (region)? 
3,35,सत्त्वपुरुषयोरत्यन्तासंकीर्णयोः प्रत्ययाविशेषो भोगः परार्थात्स्वार्थसंयमात्पुरुषज्ञानम्,"Wordly perception comprises of experiences where the pure consiousness (purusha*) is misconceived as pure (sattva*) intellect, whereas both are seperate. However, wordly perception exists to serve the comprehension of the other (i.e. pure consiousness).  By concentrating with utmost discipline on the one that dwells for itself, understanding of the pure consciousness is revealed.",How does one usually perceive consciousness or awareness of the self? What is the role of 'the self' ? How does the knowledge of the 'self arises'? What is the importance of the worldly experience?
3,36,ततः प्रातिभश्रावणवेदनादर्शास्वादवार्ता जायन्ते,"As a result of this (above) understanding, intuition and elevated sense of hearing, touch, sight, taste, smell emerge.",What powers does one accquire by having intuition? How can one develop mystical/divine sense experiences?
3,37,ते समाधावुपसर्गा व्युत्थाने सिद्धयः,"Although these heightened sensory abilities may seem like accomplishments to outwardly directed mind, they are obstacles in the path of liberation/integration.",Are supernatural powers desirable on the path of Yoga? Does supernatural powers help in Yoga progress? How does siddhis/supernatural powers help in Yoga?
3,38,बन्धकारणशैथिल्यात्प्रचारसंवेदनाच्च चित्तस्य परशरीरावेशः,"By letting go of one's attachment(s) and being acutely attuned to the pathways of consciousness, it can settle in another individual's body.",How does detachment help in Yoga? What is the importance of detachment in Yoga? What is the importance of perfectly knowing the the behaviour of the mind? What (supernatural) powers are accquired by developing detachment and thorough knowledge/behaviour of the mind? Is it possible to perfectly know the behaviour of the mind?
3,39,उदानजयाज्जलपङ्ककण्टकादिष्वसङ्ग उत्क्रान्तिश्च,"By achieving mastery over the vital energy in the neck and head (udana*), one can traverse water, mud, thorns, and other obstacles without making contact with the ground, but instead floating over them.",How does perfect control over various pranas (5 pranas) benefit? What is the importance of perfect control over sub-prana called Udaana? How does one levitate by the knowledge of Yoga? How is the power to levitate accquired through Yoga? 
3,40,समानजयाज्जवलनम्,"By acheiving mastery over the flow of energy through the solar plexus (samana*), one becomes radiant.",How does perfect control over sub-prana Saamana help in Yoga? What is the importance of perfect control over sub-prana Saamana? How is radiant aura achieved/accquired by Yoga?
3,41,श्रोत्राकाशयोः संबन्धसंयमाद्दिव्यं श्रोत्रम्,"By intently focusing (samyama*) on the inter-relationship of the organ of hearing and space, one can attain divine hearing.",How can one attain divine hearing?
3,42,कायाकाशयोः संबन्धसंयमाल्लघुतूलसमापत्तेश्चाऽऽकाशगमनम्,"By intently focusing (samyama*) on the body's connection with the space and cultivating intense concentration (samapatti*) on the lightness as of cotton, one can travel through space.",How can one travel through space?
3,43,बहिरकल्पिता वृत्तिर्महाविदेहा ततः प्रकाशावरणक्षयः,The state of 'great disembodiment' (mahavidheha*) happens when the mind is projected outside the body into a non-imagined state. Then the veil obscuring the mind's radiance is lifted.,How can we become disembodied?
3,44,स्थूलस्वरूपसूक्ष्मान्वयार्थवत्त्वसंयमाद्भूतजयः,"By intently observing the different dimensions of matter such as gross, intrinsic, subtle, interconnectedness (at the level of gunas) and purpose (of objects) with samyama*, one attains mastery over the elements.",How can we attain mastery over nature?
3,45,ततोऽणिमादिप्रादुर्भावः कायसंपत्तद्धर्मानभिघातश्च,"As a result, extraordinary abilities, such as the power to reduce oneself to the size of an atom (anima*) etc. ( and 7 more abilities) manifest. Thus the body develops ability to transcend the laws of the physical matter and attains perfection too. ",What is anima? Can we reduce our size through Yoga? Can we transcend the laws of nature? Can Yoga help us in going beyond nature? Name the most popular siddhis attained by Yoga?
3,46,रूपलावण्यबलवज्रसंहननत्वानि कायसंपत्,"This level of perfection of the body includes qualities such as beauty, grace, strength, and the indestructibility of a thunderbolt.",Does the body become more powerful due to Yoga? Can Yoga make our body more powerful?
3,47,ग्रहणस्वरूपास्मितान्वयार्थवत्त्वसंयमादिन्द्रियजयः,"One can gain control over sense organs by samyama* (on the various aspects of sense organs) - the process of obtaining knowledge, basic properties (of the sense organs), the individuating principle (asmita*), the inherent qualities and need (of the gunas*). ",What is asmita? Can we gain control over our senses by Yoga?
3,48,ततो मनोजवित्वं विकरण भावः प्रधानजयश्च,"By doing that (samyama over sense organs) one also accquires ability to travel with the speed of thought, body independant perception and control over fundamental facets of matter (mula prakriti*).",Can we perceive things beyond the senses through Yoga?
3,49,सत्त्वपुरुषान्यताख्यातिमात्रस्य सर्वभावाधिष्ठातृत्वं सर्वज्ञातृत्वं च,"Only when an individual perceives the distinction between pure awareness and the the intellect, they become knower of all and gain authority over existence.",How can we become knower of all? How can we gain mastery over ourselves?
3,50,तद्वैराग्यादपि दोषबीजक्षये कैवल्यम्,"When one detaches even from this omniscience and mastery, and the seeds of suffering decay, and pristine consciousness realizes its independent existence (state of kaivalya*).",Does self-mastery lead to happiness?
3,51,स्थान्युपनिमन्त्रणे सङ्गस्मयाकरणं पुनरनिष्टप्रसङ्गात्,"Even if the divine beings call upon one, it is vital to refrain from becoming attached or arrogant; otherwise, suffering will resurface.",Should we answer the call of divine beings?
3,52,क्षणतत्क्रमयोः संयमाद्विवेकजं ज्ञानम्,"By intently focusing (samyama*) on the succession of moments in time, one gains insights that arise from discernment.",What happens when we meditate on time?
3,53,जातिलक्षणदेशैरन्यतानवच्छेदात्तुल्ययोस्ततः प्रतिपत्तिः,"Due to which, distinction even between seemingly similar things on the basis of species, properties and location can be ascertained.  ",How can we learn to differentiate between similar things?
3,54,तारकं सर्वविषयं सर्वथाविषयमक्रमं चेति विवेकजं ज्ञानम्,This liberating insight deconstructs each object and every conditions in an time independant manner (i.e it is never changing unlike any other knowledge) and signifies viveka jnanam* or liberative discernment.,How can we attain liberating discernment?
3,55,सत्त्वपुरुषयोः शुद्धिसाम्ये कैवल्यमिति,The state of 'kaivalya' or liberation dawns when the purity of intellect equals to that of the pure consciousness. ,What happens when our intellect becomes pure? Can intellect become as pure as consciousness? Can intellect become as pure as awareness? 
4,1,जन्मौषधिमन्त्रतपः समाधिजाः सिद्धयः,"The mystic powers can manifest by the virtue from birth, herbal remedies, chanting of mantras, austerities and absorption in samadhi.",What are the ways of attaining mystic powers? Can herbs lead to mystic powers? Can mantras lead to mystic powers? Can someone acquire mystic powers by birth?
4,2,जात्यन्तरपरिणामः प्रकृत्यापूरात्,The transformation (or evolution) of a species is a result of nature's abundance. OR The transition to a new form occurs when the natural energies overflow.,How does evolution happen? How do living beings evolve?
4,3,निमित्तमप्रयोजकं प्रकृतीनां वरणभेदस्तु ततः क्षेत्रिकवत्,"The transformation from one form to another is not caused by the inherent factors, but they only serve as guidance, akin to a farmer (directing water flow for irrigation).",What causes transformation from one form to another?
4,4,निर्माणचित्तान्यस्मितामात्रात्,Assembly of chitta (mind) is done by ego only. ,What holds the mind in its place? What causes the mind to be assembled?
4,5,प्रवृत्तिभेदे प्रयोजकं चित्तमेकमनेकेषाम्,A sequence of consciousnesses that create a multitude of unique perceptions is a orchestrated by a single personal consciousness (of the yogi).,How do we perceive the sequence of conscious events?
4,6,तत्र ध्यानजमनाशयम्,Consciousness focused due to meditative absorption does not add to the accumulation of potential impressions (unlike the other four means mentioned in 4.1).,Does meditation also lead to accumulation of impressions?
4,7,कर्माशुक्लाकृष्णं योगिनस्त्रिविधमितरेषाम्,"The actions of a (true) yogi is neither white (right) nor black (wrong) unlike others (non-yogi) which are of three types (right, wrong or both).",Can the actions of a Yoga be categorised as good or bad?
4,8,ततस्तद्विपाकानुगुणानामेवाभिव्यक्तिर्वासनानाम्,"From it (the three fold actions), furthur outcome in accordance with the latent subconscious traits manifest .",What are the outcomes of the three fold action?
4,9,जातिदेशकालव्यवहितानामप्यानन्तर्यं स्मृतिसंस्कारयोरेकरूपत्वात्,"Memory and samskaras (subconscious impressions) are essentially identical, therefore, even if (both are) seperated by the virtue of birth, place and time they manifest without any difference of order.",Are memory and samskaras different or the same? Are samskaras same as memory?
4,10,तासामनादित्वं चाऽऽशिषो नित्यत्वात्,These (subconscious impressions) are beginningless as the desire (to exist) is everlasting.,Do the samskaras have a beginning? Does the universe have a beginning? Do our mental impressions have a beginning? Do our mental impressions get created at birth? When does our mind start accumulating impressions? When does our mind start to learn? Is a child born with a blank state?
4,11,हेतुफलाश्रयालम्बनैः संगृहीतत्वादेषामभावे तदभावः,"(The fourfold pillars that sustains samskara i.e.) Cause, Motive, Substratum, and Object (of impression) are interconnected, thus, it (samskara) becomes non-existent when these (four) do so.",What are the pillars that sustain samskaras?
4,12,अतीतानागतं स्वरूपतोऽस्त्यध्वभेदाद्धर्माणाम्,"Time periods of past and future are inherent in the underlying foundation (dharmi* refer 3.14), representing distinct aspects in the same continuum of experiential substances (dharma*).",What do the past and future represent?
4,13,ते व्यक्तसूक्ष्मा गुणात्मानः,"Each of these (past, present or future), whether manifest or subtle, displays characteristics that stem from the fundamental qualities of nature (tri-gunas).",Where does time originate from?
4,14,परिणामैकत्वाद्  वस्तुतत्त्वम्,The uniformity in/of the transformation is due to the singularity in the elemental quality (or principles).,Why does time seem to flow uniformly?
4,15,वस्तुसाम्ये चित्तभेदात्तयोर्विभक्तः पन्थाः,"Because there is a multiplicity of minds (perceiving an object) but yet the object remains consistent, there is a difference in nature between the object and the mind (of the observer).",Is the mind made up of the same elements as physical objects? What is the difference between the mind and physical body? What is the difference between the mind and physical objects?
4,16,न चैकचित्ततन्त्रं वस्तु तदप्रमाणकं तदा किं स्यात्,"An object is not dependant on a single mind (for its exixtence); if it were, then what happens to it when it is not perceived (by that particular mind)?",Does the existence of an object depend on the mind? Does the moon exist when no one is watching? Do objects exist when no one is watching?
4,17,तदुपरागापेक्षित्वाच्चित्तस्य वस्तु ज्ञाता ज्ञातम्,A thing is either known or not known by the mind depending on whether it is noticed by the mind.,When does an object become known by the mind? What is the role of attention in perception?
4,18,सदाज्ञाताश्चित्तवृत्तयस्तत्प्रभोः पुरुषस्यापरिणामित्वात्,"The permutations of the mind are always known to its master, the purusa soul, because of the soul's unchanging nature.",Does the soul know the permutations of the mind? Does the soul know the mind? Does Purusha know the mind?
4,19,न तत्स्वाभासं दृश्यत्वात्,"Nor is the mind self-illuminating, because of its nature as the object of perception.",Is the mind self-illuminating? Does consciousness originate in the mind? Is mind the origin of consciousness?
4,20,एकसमये चोभयानवधारणम्,There cannot be discernment of both (the mind and the object it perceives) at the same time. ,Can we observe both the mind and the objects at the same time?
4,21,चित्तान्तरदृश्ये बुद्धिबुद्धेरतिप्रसङ्गः स्मृतिसंकरश्च,"If (the mind) were cognized by another mind, then there would be an infinite regress of one intelligence (being known) by another intelligence. Moreover, there would also be confusion of memory.",Can one mind be cognized by another mind? Can one mind be experienced by another mind?
4,22,चित्तेरप्रतिसंक्रमायास्तदाकारापत्तौ स्वबुद्धिसंवेदनम्,"Although it is unchanging, consciousness becomes aware of its own intelligence by means of pervading the forms assumed by the intelligence.",How does consciousness become aware of its own intelligence?
4,23,द्रष्टृदृश्योपरक्तं चित्तं सर्वार्थम्,"The mind, colored by the seer as well as by that which is seen, knows all objects.",How does the mind become aware of objects? How does the mind experience the objects? How does the mind observe the universe?
4,24,तदसंख्येयवासनाभिश्चित्रमपि परार्थं संहत्यकारित्वात्,"That mind, with its countless variegated subliminal impressions, exists for another entity (other than itself) because it operates in conjunction (with other instruments).",What is the purpose of the mind?
4,25,विशेषदर्शिन आत्मभावभावनानिवृत्तिः,"For one who sees the distinction (between the mind and the soul), reflecting on the nature of the self ceases.",What happens if we can see the difference between the mind and the soul?
4,26,तदा विवेकनिम्नं कैवल्यप्राग्भारं चित्तम्,"At that point, the mind, inclined towards discrimination, gravitates toward ultimate liberation.",What does the mind seek after discrimination arises?
4,27,तच्छिद्रेषु प्रत्ययान्तराणि संस्कारेभ्यः,During the intervals (in this state of discriminate awareness) other ideas (arise) because of previous samskaras.,Does the mind of a Yogi remain focussed all the time?
4,28,हानमेषां क्लेशवदुक्तम्,The removal (of these previous samskaras) is said to be like (the removal) of the klesa afflictions.,Do our samskaras cause suffering?
4,29,प्रसंख्यानेऽप्यकुसीदस्य सर्वथा विवेकख्यातेर्धर्ममेघः समाधिः,"For one who has no interest even in (the fruits) of meditative wisdom on account of the highest degree of discriminative insight, the samadhi called dharma-megha, cloud of virtue, ensues. ",What is dharma megha samadhi? Should we be detached with the fruits of meditation?
4,30,ततः क्लेशकर्मनिवृत्तिः,From this comes the cessation of the klesas (impediments to yoga) and karma.,Can Karma also cease to exist?
4,31,तदा सर्वावरणमलापेतस्य ज्ञानस्याऽऽनन्त्याज्ज्ञेयमल्पम्,"At this point, because of the unlimited nature of knowledge when all impurities have been removed from it, that which remains to be known is little.",Can humans reach a state of omniscience?
4,32,ततः कृतार्थानां परिणामक्रमसमाप्तिर्गुणानाम्,"As a result, there is a cessation of the ongoing permutations of the gunas, their purpose now fulfilled.",Can the permutations of the Gunas cease?
4,33,क्षणप्रतियोगी परिणामापरान्तनिर्ग्राह्यः क्रमः,The progression (of any object through Time) corresponds to a (series of) moments. It is perceivable at the final (moment) of change.,How do we perceive time? What is time?
4,34,पुरुषार्थशून्यानां गुणानां प्रतिप्रसवः कैवल्यं स्वरूपप्रतिष्ठा वा चितिशक्तिरिति,"Ultimate liberation is when the gunas, devoid of any purpose for the purusa, return to their original (latent) state; in other words, when the power of consciousness is situated in its own essential nature.",What is ultimate liberation? What happens to Prakriti when Purusha attains liberation?