Chapter/Valli,Verse,Sanskrit,Translation
1.3,4,"इन्द्रियाणि हयानाहुर्विषयाँ स्तेषु गोचरान् ।
आत्मेन्द्रियमनोयुक्तं भोक्तेत्याहुर्मनीषिणः ॥ ","They (the wise) say that the sense organs are the horses, the road is the sense objects and the experiencer is the body, sense organs and the mind, say the realised ones."
1.3,5,"यस्त्वविज्ञानवान्भवत्ययुक्तेन मनसा सदा ।
तस्येन्द्रियाण्यवश्यानि दुष्टाश्वा इव सारथेः ॥","That One   whose understanding of the reality is not there and whose mind is without restraint, his sense organs behave without control like the rogue horses of a charioteer. "
1.3,6,"यस्तु विज्ञानवान्भवति युक्तेन मनसा सदा ।
तस्येन्द्रियाणि वश्यानि सदश्वा इव सारथेः ॥","But   he   who   has   right   understanding   and   whose   mind   is always  restrained,  his   senses   become   disciplined   like   the   obedient horses   of  a   charioteer."
1.3,7,"यस्त्वविज्ञानवान्भवत्यमनस्कः सदाऽशुचिः ।
न स तत्पदमाप्नोति संसारं चाधिगच्छति ॥ ","Transmigratory (cyclic) existence is for him who has no control over his mind, lacks the right understanding and is always contaminated in mind, as he never attains that goal."
1.3,8,"यस्तु विज्ञानवान्भवति समनस्कः सदा शुचिः ।
स तु तत्पदमाप्नोति यस्माद्भूयो न जायते ॥","However, that one who is discriminating , has his mind under restraint and always pure (in thought), verily he attains that destination, from where he never reverts to re-birth."
1.3,9,"विज्ञानसारथिर्यस्तु मनः प्रग्रहवान्नरः ।
सोऽध्वनः पारमाप्नोति तद्विष्णोः परमं पदम् ॥","That person who has his (discriminative) intelligence as his charioteer and whose mind has been reined in , reaches the terminus of the journey, which is that supreme abode of Lord Vishnu."
1.3,10,"इन्द्रियेभ्यः परा ह्यर्था अर्थेभ्यश्च परं मनः ।
मनसस्तु परा बुद्धिर्बुद्धेरात्मा महान्परः ॥","The   objects   of   senses   are   superior   to   the   sense organs,   the   mind is superior to the sense objects, the intellect is greater than the mind and the great Atman is   superior   to   the  intellect ."
1.3,11,"महतः परमव्यक्तमव्यक्तात्पुरुषः परः ।
पुरुषान्न परं किंचित्सा काष्ठा सा परा गतिः ॥","The   Unmanifested   is   higher than the   great  ( Atman),   and   the Purusha  higher  than   the   Unmanifested.  That  is   nothing   superior to   the   Purusha,  it   is   the   acme and the supreme refuge."
1.3,12,"एष सर्वेषु भूतेषु गूढोऽऽत्मा न प्रकाशते ।
दृश्यते त्वग्र्यया बुद्ध्या सूक्ष्मया सूक्ष्मदर्शिभिः ॥ ","This   Atman,   is not seen, though laid  secretly  in all beings. However,  it  is  seen by   the   Seers   of   the   subtle ,   through   their   incisive and subtle power of their intellect. "
1.3,13,"यच्छेद्वाङ्मनसी प्राज्ञस्तद्यच्छेज्ज्ञान आत्मनि ।
ज्ञानमात्मनि महति नियच्छेत्तद्यच्छेच्छान्त आत्मनि ॥ ","The   wise   should   dissolve   the   speech   in   the   mind,   the   mind in   the   intellect,   the   intellect   in   the   Great   Atman   , and   that   Great   Atman  in   the   Atman of quietitude."
1.3,14,"उत्तिष्ठत जाग्रत
    प्राप्य वरान्निबोधत ।
क्षुरस्य धारा निशिता दुरत्यया
    दुर्गं पथस्तत्कवयो वदन्ति ॥","Arise !   Awake!   Having resorted to an excellent preceptor , realise  ( the   Reality ) . The people with far-sight say that like  the sharp edge of  a razor,  that path is both difficult to set foot upon and to cross.  "
1.3,15,"अशब्दमस्पर्शमरूपमव्ययं
    तथाऽरसं नित्यमगन्धवच्च यत् ।
अनाद्यनन्तं महतः परं ध्रुवं
    निचाय्य तन्मृत्युमुखात् प्रमुच्यते ॥ ","One gets rid of the cyclic existence of births and deaths on realising that ultimate Reality, which is devoid of   sound, touch, form, perishability, taste, smell and  which is constant,  beyond the Mahat, does not undergo  any change and has  neither a beginning nor an end."
1.3,16,"नाचिकेतमुपाख्यानं मृत्युप्रोक्तँ सनातनम् ।
उक्त्वा श्रुत्वा च मेधावी ब्रह्मलोके महीयते ॥","Having listened attentively to the ancient  episode of Nachiketa,  as narrated  and  discussed  by  the  god of  Death , the Wise One  revels in the world of Brahma and  is  glorified."
1.3,17,"य इमं परमं गुह्यं श्रावयेद् ब्रह्मसंसदि ।
प्रयतः श्राद्धकाले वा तदानन्त्याय कल्पते ।
तदानन्त्याय कल्पत इति ॥ ","Whoever  relates with devotion ,  this highly  secret-laden  episode  in the assembly  of the learned  or  at the time of performing rites and rituals  for the  Infinitude , indeed becomes fit for the   Infinitude."
2.1,1,"पराञ्चि खानि व्यतृणत् स्वयम्भू-
    स्तस्मात्पराङ्पश्यति नान्तरात्मन् ।
कश्चिद्धीरः प्रत्यगात्मानमैक्ष-
    दावृत्तचक्षुरमृतत्वमिच्छन् ॥","The Self-Created (God)   made   the   senses   turn   outward;   hence   one looks   outward,   does   not   see   what   is   within   oneself.   Rare   is   the wise   man,   who,   longing   for   immortality,   turns   his   eyes   inward and   sees   the   inner   Atman.  "
2.1,2,"पराचः कामाननुयन्ति बाला-
    स्ते मृत्योर्यन्ति विततस्य पाशम् ।
अथ धीरा अमृतत्वं विदित्वा
    ध्रुवमध्रुवेष्विह न प्रार्थयन्ते ॥","The   ignorant   pursue   outward   pleasures   and   walk   into   the wide-spread   net   of   death.   The   wise,   however,  recognising  the   eternal ,    among the things that are fleeting ,  do   not   seek anything .  "
2.1,3,"येन रूपं रसं गन्धं शब्दान् स्पर्शाꣳश्च मैथुनान् ।
एतेनैव विजानाति किमत्र परिशिष्यते । एतद्वै तत् ॥","That   by   which   man   sees,   tastes,   smells,   hears   and   enjoys, is   the   omniscient   Lord.   By   that   alone   man   has   knowledge.   What is   there   that   remains   unknown   to   It?   This   is   indeed   That (Self that Nachiketa was asking about)."
2.1,4,"स्वप्नान्तं जागरितान्तं चोभौ येनानुपश्यति ।
महान्तं विभुमात्मानं मत्वा धीरो न शोचति ॥","That   by   which   one   perceives   things   both   in   dream   and   in the waking   state -  having   known   that   as   the   great omni-present Self, the   wise   man   does   not   grieve."
2.1,5,"य इमं मध्वदं वेद आत्मानं जीवमन्तिकात् ।
ईशानं भूतभव्यस्य न ततो विजुगुप्सते । एतद्वै तत् ॥","He   who   knows the Atman, the   enjoyer   of   the   fruits   of   action, sustainer   of   life,   as   the   Lord   of   the   past   and   future,   as   close   at hand --  he   fears   no   more.     This   is   indeed   That (Self that Nachiketa was asking about)."
2.1,6,"यः पूर्वं तपसो जातमद्भ्यः पूर्वमजायत ।
गुहां प्रविश्य तिष्ठन्तं यो भूतेभिर्व्यपश्यत । एतद्वै तत् ॥","He   who   sees   the   First-Born   -  born   of   knowledge,   born   before the   creation   of   waters -  sees   Him   within   the   heart,   dwelling   among the   elements ,   sees   Brahman   indeed.   This   is   verily   That (Self that Nachiketa was asking about)."
2.1,7,"या प्राणेन संभवत्यदितिर्देवतामयी ।
गुहां प्रविश्य तिष्ठन्तीं या भूतेभिर्व्यजायत । एतद्वै तत् ॥","Aditi,   the   power   of   all   powers,     manifested   in   the   form   of Prana, embodied   in   the   elements,   who   resides   in   the   heart,   is   the Immortal   Self.   This   is   truly   That (Self that Nachiketa was asking about). "
2.1,8,"अरण्योर्निहितो जातवेदा गर्भ इव सुभृतो गर्भिणीभिः ।
दिवे दिवे ईड्यो जागृवद्भिर्हविष्मद्भिर्मनुष्येभिरग्निः । एतद्वै तत् ॥","Like   the   child   well   guarded   in   the   womb by the pregnant women,   the   all-knowing Agni,   who   lies   hidden   in   the   fire-sticks,   is   worshipped     every day   by   the   awakened   man   and   by   those   who   offer   oblations   in  the   Fire.     This   is   verily   that (Self that Nachiketa was asking about)."
2.1,9,"यतश्चोदेति सूर्योऽस्तं यत्र च गच्छति ।
तं देवाः सर्वेऽर्पितास्तदु नात्येति कश्चन । एतद्वै तत् ॥",The Atman  is really  that  from which the sun  rises  and into which  it  mixes  again.  To That (Atman)  are  all the Gods  attached  and no one  can actually go beyond it (Self or Atman that Nachiketa was asking about).
2.1,10,"यदेवेह तदमुत्र यदमुत्र तदन्विह ।
मृत्योः स मृत्युमाप्नोति य इह नानेव पश्यति ॥",Whatever is here is also there; whatever is there is the same here. He who sees a difference here travels from death to death.
2.1,11,"मनसैवेदमाप्तव्यं नेह नानाऽस्ति किंचन ।
मृत्योः स मृत्युं गच्छति य इह नानेव पश्यति ॥","By   the   purified   mind   alone   is   This   to   be   realised.   There is   no   multiplicity   here.   From   death   to   death   he   goes   ,   who   sees as   if   there   is   difference   here. "
2.1,12,"अङ्गुष्ठमात्रः पुरुषो मध्य आत्मनि तिष्ठति ।
ईशानं भूतभव्यस्य न ततो विजुगुप्सते । एतद्वै तत् ॥",The   Purusha   of   the   size   of   a  thumb   dwells  within   the  body.  He is   the   lord   of   the   past   and   future.   After   knowing   Him   one   fears no   more.   This   is   verily   That (Self that Nachiketa was asking about).
2.1,13,"अङ्गुष्ठमात्रः पुरुषो ज्योतिरिवाधूमकः ।
ईशानो भूतभव्यस्य स एवाद्य स उ श्वः । एतद्वै तत् ॥","The  thumbsized  Purusha   ,   the   lord   of   the   past   and the   future,   is   like   a   flame   without   smoke;   He   stays   the same  today   and   tomorrow.   This   is   verily   That.   (Self that Nachiketa was asking about)."
2.1,14,"यथोदकं दुर्गे वृष्टं पर्वतेषु विधावति ।
एवं धर्मान् पृथक् पश्यंस्तानेवानुविधावति ॥","As   rain,   fallen   on   a   hill,   streams   down   its   sides,   so   runs   he after   many   births,   who   sees     manifoldness   in   the   Self."
2.1,15,"यथोदकं शुद्धे शुद्धमासिक्तं तादृगेव भवति ।
एवं मुनेर्विजानत आत्मा भवति गौतम ॥ ","As   water that is  pure, when  poured   into   water that is  pure  remains  pure, so does the   Self  of the realised one  remains   pure   on   knowing   (uniting   with)   Brahman , O! Gautama !"
2.2,1,"पुरमेकादशद्वारमजस्यावक्रचेतसः ।
अनुष्ठाय न शोचति विमुक्तश्च विमुच्यते । एतद्वै तत् ॥","There   is   the   city   of   eleven   gates   belonging   to   Him   who   is unborn   and   of   unchanging   consciousness.   By   meditating  upon   Him, one   grieves   no   more;   and   being   liberated   one   becomes   free   from birth   and   death.   This   is   indeed   That (Self that Nachiketa was asking about)."
2.2,2,"हँसः शुचिषद्वसुरन्तरिक्षसद्-
    होता वेदिषदतिथिर्दुरोणसत् ।
नृषद्वरसदृतसद्व्योमसद्
    अब्जा गोजा ऋतजा अद्रिजा ऋतं बृहत् ॥ ","The Atman  is   the   Sun   in   the   heavens,   the   air   in   the   sky,   the   fire in   the   altar,   the   guest   in   the   house;   He   dwells   in   men,   in   Gods,  in   the   Sacrifice,   in   space.   He   is   all   that   is   born   in   water,   all that   is   born   on   earth,   in   the   sacrifice   and   on   the   moutains.   He is   the   True   and   the   Great. "
2.2,3,"ऊर्ध्वं प्राणमुन्नयत्यपानं प्रत्यगस्यति ।
मध्ये वामनमासीनं विश्वे देवा उपासते ॥ ","He   it   is   that   leads   the   life-breath   upwards   and   casts   the lower   breath   downwards.   All   the   senses   minister   to   Him,   the Adorable,   who   is   seated   in   the   centre.  "
2.2,4,"अस्य विस्रंसमानस्य शरीरस्थस्य देहिनः ।
देहाद्विमुच्यमानस्य किमत्र परिशिष्यते । एतद्वै तत् ॥",When   the   soul   in   the   body   is   separated   and   leaves   the   body what   is   left   over   here?   This   is   indeed   That. (Self that Nachiketa was asking about).
2.2,5,"न प्राणेन नापानेन मर्त्यो जीवति कश्चन ।
इतरेण तु जीवन्ति यस्मिन्नेतावुपाश्रितौ ॥","Man   does   not   live   by   breath   alone,   but   by   Him   who   is   the power   of   breath."
2.2,6,"हन्त त इदं प्रवक्ष्यामि गुह्यं ब्रह्म सनातनम् ।
यथा च मरणं प्राप्य आत्मा भवति गौतम ॥ ","Listen,    I   shall   tell   you   O !  Gautama,   of   the   secret, eternal   Brahman,   and   what   happens to   the   self   after   meeting death. "
2.2,7,"योनिमन्ये प्रपद्यन्ते शरीरत्वाय देहिनः ।
स्थाणुमन्येऽनुसंयन्ति यथाकर्म यथाश्रुतम् ॥","Some   souls   seek a womb   for  the sake of a physical body and yet others go to immovables, like the plant kingdom, depending upon the  activities in the past and also in consonance with the level of awakening they have reached."
2.2,8,"य एष सुप्तेषु जागर्ति कामं कामं पुरुषो निर्मिमाणः ।
तदेव शुक्रं तद्ब्रह्म तदेवामृतमुच्यते ।
तस्मिँल्लोकाः श्रिताः सर्वे तदु नात्येति कश्चन । एतद्वै तत् ॥","This  principle  Purusha   keeping  awake  when others sleep, creating     objects   of   desires ,  that which is taintless  and said to be deathless is the  Brahman.  That is the substratum  of all the worlds,  and no one can surpass it .  This , indeed  is  that. (Self that Nachiketa was asking about)."
2.2,9,"अग्निर्यथैको भुवनं प्रविष्टो
    रूपं रूपं प्रतिरूपो बभूव ।
एकस्तथा सर्वभूतान्तरात्मा
    रूपं रूपं प्रतिरूपो बहिश्च ॥","As   fire,  though  one  only  ,  having   entered   the   world,   takes  the  form   of   various    objects (which it burns )  so also though  the  all permeating brahman    is one only, takes  the  form  apparently  of the various objects  it enters  and  is  also  beyond them."
2.2,10,"वायुर्यथैको भुवनं प्रविष्टो
    रूपं रूपं प्रतिरूपो बभूव ।
एकस्तथा सर्वभूतान्तरात्मा
    रूपं रूपं प्रतिरूपो बहिश्च ॥ ","As  one  air,    takes   the   shape   of   every   object   it   enters,
so   the   Self  which  permeates  into everything ,   though   one,   takes   the   shape   of   every   object   in which  it  dwells.   It   also   exists   outside   them."
2.2,11,"सूर्यो यथा सर्वलोकस्य चक्षुः
    न लिप्यते चाक्षुषैर्बाह्यदोषैः ।
एकस्तथा सर्वभूतान्तरात्मा
    न लिप्यते लोकदुःखेन बाह्यः ॥ ","Like the sun,  which is  the   eye   of   the   whole   world   is   not  tainted by the outward defects  of  the objects  it  lights,  which are  seen  by the eye,  in  the same  manner,  this  Brahman  which  is  inherent  in all beings  is not tainted  by the sufferings  of the world,  as it is beyond  the  world."
2.2,12,"एको वशी सर्वभूतान्तरात्मा
    एकं रूपं बहुधा यः करोति ।
तमात्मस्थं येऽनुपश्यन्ति धीराः
    तेषां सुखं शाश्वतं नेतरेषाम् ॥","Eternal bliss  falls to  the  lot of those  wise ones  who realise  Him,  existing  within,  the  one controller,  the  inner being  of all beings  and being  are  manifests  in  myriad  forms  and not to the lot of others. "
2.2,13,"नित्योऽनित्यानां चेतनश्चेतनानाम्
    एको बहूनां यो विदधाति कामान् ।
तमात्मस्थं येऽनुपश्यन्ति धीराः
    तेषां शान्तिः  शाश्वती नेतरेषाम् ॥ ","Those  wise  persons  who realise  Him,  who is within,  who  is  permanent  among  all others  which  are  impermanent ,  who  is  sentient  amongst  which  are  insentinent  and though  one fulfills  the desires  of  the  several,  they  have  lasting (inner) peace  and  none  others."
2.2,14,"तदेतदिति मन्यन्तेऽनिर्देश्यं परमं सुखम् ।
कथं नु तद्विजानीयां किमु भाति विभाति वा ॥","How shall I know that supreme, unspeakable Bliss which they realize directly as 'This'? Is it self-effulgent - does It shine dinstinctly, or does It not?"
2.2,15,"न तत्र सूर्यो भाति न चन्द्रतारकं
    नेमा विद्युतो भान्ति कुतोऽयमग्निः ।
तमेव भान्तमनुभाति सर्वं
    तस्य भासा सर्वमिदं विभाति ॥ ",""" Neither  the   sun,  the   moon , the   stars, nor   the  lightning shines here, nor to speak of this   fire.   Every other thing  shines  following That  and due to its effulgence everything is illumined."
2.3,1,"ऊर्ध्वमूलोऽवाक्शाख एषोऽश्वत्थः सनातनः ।
तदेव शुक्रं तद्ब्रह्म तदेवामृतमुच्यते ।
तस्मिँल्लोकाः श्रिताः सर्वे तदु नात्येति कश्चन । एतद्वै तत् ॥","With   its   root   above   and   branches   below   stands   this   Banyan-tree.   That   (root)   is   indeed   the   Pure,   that   is   Brahman, the   Immortal.   All   the   worlds   are   contained   in   It   and   no   one goes   beyond   It.   This   is   verily   That  (Self that Nachiketa was asking about)."
2.3,2,"यदिदं किं च जगत् सर्वं प्राण एजति निःसृतम् ।
महद्भयं वज्रमुद्यतं य एतद्विदुरमृतास्ते भवन्ति ॥ ","The   whole   world,   whatever   there   is,   springs   from   and   moves in   Prana   (Brahman),   which   is   a   great   terror   like   an   upraised thunder-bolt.   Those   who   know   This   become   deathless."
2.3,3,"भयादस्याग्निस्तपति भयात्तपति सूर्यः ।
भयादिन्द्रश्च वायुश्च मृत्युर्धावति पञ्चमः ॥","The fire burns, the sun shines and Indra , the Wind God and the God of Death -  the fifth in row -  perform their tasks, all out of fear for Him.  "
2.3,4,"इह चेदशकद्बोद्धुं प्राक्षरीरस्य विस्रसः ।
ततः सर्गेषु लोकेषु शरीरत्वाय कल्पते ॥","If   one   is   not   able   to   realise (  Him )  before   his   body   falls, he becomes   liable   to   be   embodied   again   in   the   future creations."
2.3,5,"यथाऽऽदर्शे तथाऽऽत्मनि यथा स्वप्ने तथा पितृलोके ।
यथाऽप्सु परीव ददृशे तथा गन्धर्वलोके
  छायातपयोरिव ब्रह्मलोके ॥","In   one's   own   soul   Brahman   is   realised   clearly,   as   if   seen in   a   mirror.  In  the   world   of   the   ancestors  He   is   perceived  as  a dream (hazily);   in   the   world   of   angels   as   a   reflection   in   water and  in   the world   of   Brahma   as   light   distinct   from   shade."
2.3,6,"इन्द्रियाणां पृथग्भावमुदयास्तमयौ च यत् ।
पृथगुत्पद्यमानानां मत्वा धीरो न शोचति ॥ ","The   wise   one,   having   understood   the   individual   nature   of   the senses,   their   rising   and   setting   as   of   things   that   come   into   being separate   from   the   soul,   does   not   grieve."
2.3,7,"इन्द्रियेभ्यः परं मनो मनसः सत्त्वमुत्तमम् ।
सत्त्वादधि महानात्मा महतोऽव्यक्तमुत्तमम् ॥","Mind is greater than the senses,  the discriminating  power (Intellect)  is Greater than the mind  , the Great Brahman  is higher  than the intellect  and the unmanifested is greater than the Atman."
2.3,8,"अव्यक्तात्तु परः पुरुषो व्यापकोऽलिङ्ग एव च ।
यं ज्ञात्वा मुच्यते जन्तुरमृतत्वं च गच्छति ॥ ","The Purusha  is beyond  the unmanifested ,  is  all-pervading  and attributeless ,  realising That,  a creature  is liberated  and attains  to deathlessness."
2.3,9,"न संदृशे तिष्ठति रूपमस्य
    न चक्षुषा पश्यति कश्चनैनम् ।
हृदा मनीषा मनसाऽभिक्लृप्तो
    य एतद्विदुरमृतास्ते भवन्ति ॥ ","None   beholds   Him   with   the   eyes,   for   He   is   without   visible form. He   is revealed   in   the   heart   through   self-control   and   meditation. Those   who   know   Him   become   immortal. "
2.3,10,"यदा पञ्चावतिष्ठन्ते ज्ञानानि मनसा सह ।
बुद्धिश्च न विचेष्टते तामाहुः परमां गतिम् ॥","When   the   five   senses   of   perception   stand   still   along   with the   mind,   and   when   the   intellect   does   not   move,   that   is   called the   Supreme   State."
2.3,11,"तां योगमिति मन्यन्ते स्थिरामिन्द्रियधारणाम् ।
अप्रमत्तस्तदा भवति योगो हि प्रभवाप्ययौ ॥","This   steadiness   of   the   mind   and   senses   is   what   is   known   as   Yoga. One   becomes   watchful at that time, for Yoga is subject to growth and decay."
2.3,12,"नैव वाचा न मनसा प्राप्तुं शक्यो न चक्षुषा ।
अस्तीति ब्रुवतोऽन्यत्र कथं तदुपलभ्यते ॥","The   Atman   cannot   be   attained   by   speech,   by   the   mind   or   by the   eye. How can It   be   realised   otherwise   than   from  those who   know   It as   existing?"
2.3,13,"अस्तीत्येवोपलब्धव्यस्तत्त्वभावेन चोभयोः ।
अस्तीत्येवोपलब्धस्य तत्त्वभावः प्रसीदति ॥ ","He   is   to   be   realised   as   ""existing"",   and   then   that It has a transcendental nature.   His   innermost   nature   reveals   itself   to   those who   apprehend   It as   existing."
2.3,14,"यदा सर्वे प्रमुच्यन्ते कामा येऽस्य हृदि श्रिताः ।
अथ मर्त्योऽमृतो भवत्यत्र ब्रह्म समश्नुते ॥","The mortal gains  immortality  and  in  this  life  becomes  Brahman, when   all   the   yearnings  in  his  mind  are   dissolved."
2.3,15,"यदा सर्वे प्रभिद्यन्ते हृदयस्येह ग्रन्थयः ।
अथ मर्त्योऽमृतो भवत्येतावद्ध्यनुशासनम् ॥","In this body,  when all  those  knots  in  the  mind  are  cut  ,  then the  mortal  becomes  immortal ;  thus runs the  instruction (in Vedic scriptures)."
2.3,16,"शतं चैका च हृदयस्य नाड्य-
    स्तासां मूर्धानमभिनिःसृतैका ।
तयोर्ध्वमायन्नमृतत्वमेति
    विष्वङ्ङन्या उत्क्रमणे भवन्ति ॥ ","Of the  hundred   and   one   are    nerves   of   the   heart;   one   extends towards  the   top (crown) of   the   head. Proceeding upwards through it, man attains deathlessness and the  others   lead  one  to   different   destinations (human or non-human form)."
2.3,17,"अङ्गुष्ठमात्रः पुरुषोऽन्तरात्मा
    सदा जनानां हृदये संनिविष्टः ।
तं स्वाच्छरीरात्प्रवृहेन्मुञ्जादिवेषीकां धैर्येण ।
तं विद्याच्छुक्रममृतं तं विद्याच्छुक्रममृतमिति ॥","In  the  heart  of   everybeing  dwells,   the  inner soul,  of  the  dimension   of   the  human  thumb  ,  The Purusha,  whom through meditation  and persverance is like  drawing  out a thread from  the stalk.  Him one should know as pure  and  immortal. Him one should know as pure  and  immortal."
2.3,18,"मृत्युप्रोक्तां नचिकेतोऽथ लब्ध्वा
    विद्यामेतां योगविधिं च कृत्स्नम् ।
ब्रह्मप्राप्तो विरजोऽभूद्विमृत्यु-
    रन्योऽप्येवं यो विदध्यात्ममेव ॥","Instructed  by  Yama ,  in  the  knowledge, in this manner, as also  in the  technique  of  Yoga  Sastra,  Nachiketa  became  sinless  and transcended physical  death  and attained Brahman.  Also  any other  will do  so ,  on  realising the Brahman."